date,rented bike count,hour,temperature(°c),humidity(%),wind speed (m/s),visibility (10m),dew point temperature(°c),solar radiation (mj/m2),rainfall(mm),snowfall (cm),seasons,holiday,functioning day
2017-12-01,323,11PM,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,328,12AM,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,308,1AM,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,262,2AM,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,167,3AM,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,89,4AM,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,79,5AM,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,70,6AM,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,146,7AM,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,219,8AM,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,328,9AM,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,334,10AM,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,388,11AM,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,479,12PM,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,606,1PM,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,611,2PM,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,589,3PM,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,618,4PM,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,572,5PM,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,489,6PM,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,385,7PM,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,359,8PM,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,377,9PM,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,354,10PM,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-02,366,11PM,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,342,12AM,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,227,1AM,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,228,2AM,3.3,79,1.4,830,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,117,3AM,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,Winter,No Holiday,Yes
2017-12-03,76,4AM,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,32,5AM,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,13,6AM,3.4,86,2.5,278,1.2,0.0,1.0,0.0,Winter,No Holiday,Yes
2017-12-03,22,7AM,3.1,91,1.2,129,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,85,8AM,3.2,92,1.8,244,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,152,9AM,3.5,91,1.8,231,2.1,0.02,2.5,0.0,Winter,No Holiday,Yes
2017-12-03,200,10AM,4.4,89,2.2,257,2.7,0.24,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,273,11AM,5.1,87,1.4,321,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,333,12PM,5.8,85,1.7,349,3.4,0.43,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,495,1PM,6.8,81,1.9,390,3.7,0.6,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,563,2PM,7.6,76,1.2,422,3.6,0.69,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,621,3PM,8.0,73,1.6,433,3.4,0.53,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,598,4PM,7.6,77,1.6,399,3.8,0.2,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,545,5PM,6.7,82,1.5,358,3.8,0.05,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,443,6PM,6.0,84,1.9,327,3.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,422,7PM,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,397,8PM,5.2,87,1.4,253,3.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,385,9PM,4.7,87,1.2,247,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,350,10PM,4.3,89,1.8,201,2.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-03,303,11PM,3.9,90,1.3,194,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,285,12AM,4.2,88,0.6,216,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,186,1AM,4.3,87,0.5,221,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,112,2AM,4.4,87,1.8,207,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,65,3AM,3.6,85,2.3,206,1.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,41,4AM,2.8,89,1.5,130,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,82,5AM,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,200,6AM,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,Winter,No Holiday,Yes
2017-12-04,498,7AM,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,937,8AM,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,509,9AM,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,311,10AM,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,379,11AM,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,393,12PM,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,391,1PM,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,338,2PM,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,341,3PM,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,375,4PM,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,515,5PM,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,807,6PM,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,568,7PM,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,398,8PM,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,397,9PM,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,353,10PM,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-04,248,11PM,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,216,12AM,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,198,1AM,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,124,2AM,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,62,3AM,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,42,4AM,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,82,5AM,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,172,6AM,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,381,7AM,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,812,8AM,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,462,9AM,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,269,10AM,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,334,11AM,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,321,12PM,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,325,1PM,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,334,2PM,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,353,3PM,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,435,4PM,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,529,5PM,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,789,6PM,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,597,7PM,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,418,8PM,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,415,9PM,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,393,10PM,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-05,244,11PM,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-06,145,12AM,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,Winter,No Holiday,Yes
2017-12-06,144,1AM,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,Winter,No Holiday,Yes
2017-12-06,117,2AM,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,Winter,No Holiday,Yes
2017-12-06,78,3AM,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,Winter,No Holiday,Yes
2017-12-06,58,4AM,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes
2017-12-06,87,5AM,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes
2017-12-06,142,6AM,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,Winter,No Holiday,Yes
2017-12-06,379,7AM,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,Winter,No Holiday,Yes
2017-12-06,802,8AM,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,Winter,No Holiday,Yes
2017-12-06,440,9AM,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,Winter,No Holiday,Yes
2017-12-06,307,10AM,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,Winter,No Holiday,Yes
2017-12-06,381,11AM,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,Winter,No Holiday,Yes
2017-12-06,405,12PM,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,Winter,No Holiday,Yes
2017-12-06,442,1PM,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,Winter,No Holiday,Yes
2017-12-06,416,2PM,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,Winter,No Holiday,Yes
2017-12-06,412,3PM,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,Winter,No Holiday,Yes
2017-12-06,496,4PM,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,Winter,No Holiday,Yes
2017-12-06,239,5PM,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,Winter,No Holiday,Yes
2017-12-06,204,6PM,1.7,90,1.0,66,0.2,0.0,0.3,0.3,Winter,No Holiday,Yes
2017-12-06,205,7PM,1.2,92,0.7,180,0.0,0.0,0.0,1.0,Winter,No Holiday,Yes
2017-12-06,190,8PM,1.2,94,0.6,228,0.3,0.0,0.0,1.0,Winter,No Holiday,Yes
2017-12-06,165,9PM,1.1,92,0.5,235,0.0,0.0,0.7,1.0,Winter,No Holiday,Yes
2017-12-06,222,10PM,1.3,92,0.6,233,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes
2017-12-06,193,11PM,1.3,92,0.6,209,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes
2017-12-07,198,12AM,1.4,92,0.5,240,0.2,0.0,0.0,0.9,Winter,No Holiday,Yes
2017-12-07,218,1AM,1.5,92,0.4,227,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes
2017-12-07,149,2AM,1.4,92,0.7,168,0.2,0.0,0.0,0.9,Winter,No Holiday,Yes
2017-12-07,102,3AM,1.9,91,1.4,218,0.5,0.0,0.0,0.9,Winter,No Holiday,Yes
2017-12-07,62,4AM,1.6,92,0.7,119,0.4,0.0,0.0,0.9,Winter,No Holiday,Yes
2017-12-07,83,5AM,1.5,92,1.1,175,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes
2017-12-07,137,6AM,1.0,93,0.5,148,0.0,0.0,0.0,0.9,Winter,No Holiday,Yes
2017-12-07,367,7AM,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,Winter,No Holiday,Yes
2017-12-07,754,8AM,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,Winter,No Holiday,Yes
2017-12-07,415,9AM,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,Winter,No Holiday,Yes
2017-12-07,321,10AM,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,Winter,No Holiday,Yes
2017-12-07,333,11AM,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,Winter,No Holiday,Yes
2017-12-07,431,12PM,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,Winter,No Holiday,Yes
2017-12-07,394,1PM,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,390,2PM,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,430,3PM,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,471,4PM,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,552,5PM,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,795,6PM,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,507,7PM,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,390,8PM,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,402,9PM,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,389,10PM,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-07,259,11PM,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,233,12AM,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,230,1AM,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,131,2AM,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,99,3AM,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,71,4AM,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,84,5AM,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,158,6AM,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,387,7AM,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,780,8AM,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,395,9AM,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,261,10AM,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,310,11AM,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,355,12PM,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,354,1PM,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,350,2PM,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,362,3PM,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,401,4PM,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,500,5PM,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,752,6PM,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,477,7PM,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,384,8PM,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,336,9PM,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,347,10PM,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-08,275,11PM,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,267,12AM,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,296,1AM,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,237,2AM,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,169,3AM,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,96,4AM,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,56,5AM,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,76,6AM,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,127,7AM,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,222,8AM,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,291,9AM,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,273,10AM,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,351,11AM,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,427,12PM,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,431,1PM,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,486,2PM,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,569,3PM,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,546,4PM,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,481,5PM,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,384,6PM,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,275,7PM,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,298,8PM,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,321,9PM,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,289,10PM,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-09,265,11PM,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,326,12AM,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,280,1AM,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,243,2AM,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,169,3AM,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,71,4AM,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,13,5AM,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,Winter,No Holiday,Yes
2017-12-10,9,6AM,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,Winter,No Holiday,Yes
2017-12-10,20,7AM,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,Winter,No Holiday,Yes
2017-12-10,35,8AM,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,Winter,No Holiday,Yes
2017-12-10,31,9AM,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,Winter,No Holiday,Yes
2017-12-10,19,10AM,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,Winter,No Holiday,Yes
2017-12-10,58,11AM,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,Winter,No Holiday,Yes
2017-12-10,119,12PM,2.3,88,0.3,245,0.5,0.28,0.0,3.1,Winter,No Holiday,Yes
2017-12-10,182,1PM,3.3,87,1.1,230,1.3,0.54,0.0,2.1,Winter,No Holiday,Yes
2017-12-10,235,2PM,4.2,85,0.7,325,1.8,0.65,0.0,1.4,Winter,No Holiday,Yes
2017-12-10,180,3PM,6.7,63,4.5,715,0.1,0.35,0.0,1.0,Winter,No Holiday,Yes
2017-12-10,214,4PM,5.4,71,3.5,622,0.5,0.2,0.0,0.5,Winter,No Holiday,Yes
2017-12-10,226,5PM,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,Winter,No Holiday,Yes
2017-12-10,210,6PM,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,181,7PM,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,165,8PM,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,167,9PM,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,152,10PM,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-10,148,11PM,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-11,125,12AM,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2017-12-11,111,1AM,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,Winter,No Holiday,Yes
